"","RecNumbr","CURPLSET","DISREASN","IsWaiting","CASEGOAL"
"1","252327000000",3,0,0,3
"2","252360000000",3,0,0,3
"3","241164000000",5,0,0,3
"4","250346000000",1,0,0,3
"5","252035000000",3,0,0,3
"6","252597000000",4,0,0,3
"7","260183000000",1,0,0,3
"8","260337000000",1,0,0,3
"9","261336000000",5,0,0,3
"10","262454000000",1,0,0,3
"11","262494000000",NA,0,0,3
"12","10972385260",4,0,0,3
"13","241459000000",3,0,0,3
"14","241496000000",5,0,0,3
"15","241607000000",3,0,0,3
"16","241687000000",NA,0,0,3
"17","241716000000",1,0,0,3
"18","241769000000",7,0,0,3
"19","241805000000",5,0,0,3
"20","241831000000",1,0,0,3
"21","241871000000",1,0,0,3
"22","241989000000",NA,0,0,3
"23","242014000000",1,0,0,3
"24","242088000000",3,0,0,3
"25","242152000000",1,0,0,3
"26","242164000000",3,0,0,3
"27","250374000000",2,0,0,3
"28","250578000000",8,0,0,3
"29","251119000000",5,0,0,3
"30","251555000000",3,0,0,3
"31","260175000000",1,0,0,3
"32","261561000000",1,0,0,3
"33","261821000000",3,0,0,3
"34","262610000000",1,0,0,3
"35","262667000000",1,0,0,3
"36","12266331130",3,0,0,3
"37","12283375190",3,0,0,3
"38","222319000000",2,0,0,3
"39","241658000000",5,0,0,3
"40","241700000000",5,0,0,3
"41","241784000000",1,0,0,3
"42","241790000000",NA,0,0,3
"43","241799000000",4,0,0,3
"44","241817000000",4,0,0,3
"45","241830000000",3,0,0,3
"46","241848000000",1,0,0,3
"47","241849000000",3,0,0,3
"48","241916000000",8,0,0,3
"49","241941000000",2,0,0,3
"50","242078000000",7,0,0,3
"51","242163000000",3,0,0,3
"52","242163000000",3,0,0,3
"53","242169000000",4,0,0,3
"54","250261000000",8,0,0,3
"55","250599000000",2,0,0,3
"56","251112000000",NA,0,0,3
"57","251171000000",NA,0,0,3
"58","251394000000",1,0,0,3
"59","251497000000",1,0,0,3
"60","251596000000",1,0,0,3
"61","251641000000",1,0,0,3
"62","251673000000",7,0,0,3
"63","251679000000",3,0,0,3
"64","251939000000",1,0,0,3
"65","252259000000",4,0,0,3
"66","252401000000",7,0,0,3
"67","252602000000",3,0,0,3
"68","260183000000",1,0,0,3
"69","260184000000",1,0,0,3
"70","260309000000",7,0,0,3
"71","260328000000",1,0,0,3
"72","260594000000",NA,0,0,3
"73","261371000000",7,0,0,3
"74","261506000000",7,0,0,3
"75","261522000000",1,0,0,3
"76","262095000000",1,0,0,3
"77","262343000000",1,0,0,3
"78","262373000000",3,0,0,3
"79","262511000000",1,0,0,3
"80","262649000000",3,0,0,3
